NONE;;;;;;;;;;;;;;x;
shamanism;Shamanist;Chamanisme;Schamanismus;Szamanizm;Chamanismo;Sciamanismo;S??ista;?manismus;;;;;;x;
cathar;Cathar;;;;;;;;;;;;;x;
fraticelli;Fraticelli;;;;;;;;;;;;;x;
waldensian;Waldensian;;;;;;;;;;;;;x;
lollard;Lollard;;;;;;;;;;;;;x;
bogomilist;Bogomilist;;;;;;;;;;;;;x;
iconoclast;Iconoclast;;;;;;;;;;;;;x;
monophysite;Monophysite;;;;;;;;;;;;;x;
nestorian;Nestorian;;;;;;;;;;;;;x;
zikri;Zikri;;;;;;;;;;;;;x;
yazidi;Yazidi;;;;;;;;;;;;;x;
ibadi;Ibadi;;;;;;;;;;;;;x;
bektashi;Bektashi;;;;;;;;;;;;;x;
druze;Druze;;;;;;;;;;;;;x;
hurufi;Hurufi;;;;;;;;;;;;;x;
generic_pagan;Pagan;;;;;;;;;;;;;x;
norse_pagan;Norse Pagan;;;;;;;;;;;;;x;
tengri_pagan;Tengri Pagan;;;;;;;;;;;;;x;
baltic_pagan;Baltic Pagan;;;;;;;;;;;;;x;
finnish_pagan;Finnish Pagan;;;;;;;;;;;;;x;
totemism;Totemism;;;;;;;;;;;;;x;
zoroastrian_group;Zoroastrianism;;;;;;;;;;;;;x;
zoroastrian;Zoroastrian;;;;;;;;;;;;;x;
zoroastrian_heresy;Zoroastrian Heresies;;;;;;;;;;;;;x
manichean;Manichean;;;;;;;;;;;;;x
mazdaki;Mazdaki;;;;;;;;;;;;;x
inti;Inti;;;;;;;;;;;;;x
nahuatl;Nahuatl;;;;;;;;;;;;;x
inca_reformed;Incan;;;;;;;;;;;;;x
hellenic_pagan;Hellenic;;;;;;;;;;;;;x
zun_pagan_reformed;Zun;;;;;;;;;;;;;x
west_african_pagan_reformed;West African;;;;;;;;;;;;;x
slavic_pagan_reformed;Slavic;;;;;;;;;;;;;x
aztec_reformed;Aztec;;;;;;;;;;;;;x
finnish_pagan_reformed;Finnish;;;;;;;;;;;;;x
baltic_pagan_reformed;Baltic;;;;;;;;;;;;;x
tengri_pagan_reformed;Tengri;;;;;;;;;;;;;x
norse_pagan_reformed;Norse;;;;;;;;;;;;;x
jain;Jain;;;;;;;;;;;;;x
jewish_heresy;Jewish Heresy;;;;;;;;;;;;;x
karaite;Karaite;;;;;;;;;;;;;x
samaritan;Samaritan;;;;;;;;;;;;;x
kharijite;Kharijite;;;;;;;;;;;;;x
shiite_heresy;Shiite Heresy;;;;;;;;;;;;;x
sunni_heresy;Sunni Heresy;;;;;;;;;;;;;x
messalian;Messalian;;;;;;;;;;;;;x
orthodox_heresy;Orthodox Heresy;;;;;;;;;;;;;x
paulician;Paulician;;;;;;;;;;;;;x
monothelite;Monotehlite;;;;;;;;;;;;;x
protestant_heresy;Protestant Heresy;;;;;;;;;;;;;x
catholic_heresy;Catholic Heresy;;;;;;;;;;;;;x
